g4.t1	XP_031739819.1	84.9	225	33	1	1	224	1	225	8.4e-104	388.3
g4.t1	KAH7528545.1	81.6	147	27	0	1	147	9	155	2.7e-62	250.4
g6.t1	PNS97074.1	80.2	329	63	2	109	437	1	327	7.4e-157	564.7
g7.t1	MBA0694754.1	80.4	465	68	2	1105	1567	1	444	1.2e-220	778.9
g8.t1	KAH7572690.1	80.0	105	21	0	1	105	1	105	3.2e-40	175.3
g14.t1	TYI78173.1	83.0	570	67	1	239	808	5	544	3.7e-287	998.4
g14.t1	XP_014508900.1	81.1	570	78	1	239	808	5	544	4.2e-283	984.9
g14.t1	PKI66442.1	81.5	556	73	1	253	808	1	526	9.4e-275	957.2
g20.t1	XP_021902141.1	80.9	698	131	2	1	697	31	727	1.4e-136	498.0
g20.t1	PHT99523.1	80.0	620	123	1	85	703	59	678	2.4e-96	364.4
g29.t1	EOY28952.1	81.4	113	21	0	80	192	82	194	6.3e-44	188.3
g29.t1	XP_022714453.1	81.4	113	21	0	80	192	83	195	3.1e-43	186.0
g29.t1	KAH7545366.1	86.7	90	12	0	103	192	1	90	1.1e-35	161.0
g33.t1	XP_042962182.1	88.0	441	49	3	28	465	6	445	2.1e-218	769.2
g33.t1	XP_028060116.1	87.8	441	50	3	28	465	6	445	8.0e-218	767.3
g33.t1	KAG7944535.1	87.8	441	50	3	28	465	6	445	1.0e-217	766.9
g33.t1	XP_015881980.1	87.8	443	49	3	28	465	6	448	1.0e-217	766.9
g33.t1	XP_015881979.1	87.8	443	49	3	28	465	63	505	1.0e-217	766.9
g36.t1	XP_006467312.1	83.2	173	29	0	656	828	107	279	9.9e-78	302.8
g36.t1	KAF8414220.1	80.3	173	34	0	656	828	113	285	2.9e-77	301.2
g36.t1	KAH7545339.1	82.2	174	30	1	656	829	125	297	4.2e-76	297.4
g36.t1	XP_010270161.1	80.3	173	34	0	656	828	111	283	5.4e-76	297.0
g36.t1	XP_021902380.1	80.9	173	33	0	656	828	112	284	3.5e-75	294.3
g37.t1	XP_010538418.1	80.2	570	111	1	1	570	1	568	2.0e-263	919.1
g38.t1	XP_013601461.1	80.0	490	71	5	199	685	1	466	2.6e-92	350.9
g38.t1	KAF3484559.1	81.6	413	46	3	275	686	1	384	6.3e-62	250.0
g38.t1	KAF3592958.1	81.1	413	48	3	275	686	1	384	7.0e-61	246.5
g38.t1	BBH00655.1	82.7	369	32	4	319	685	121	459	2.7e-49	208.0
g39.t1	RQP01138.1	81.8	231	42	0	79	309	1	231	6.5e-107	398.3
g39.t1	AJC01344.1	83.3	162	27	0	81	242	1	162	7.5e-71	278.5
g39.t1	ESR63120.1	80.4	143	28	0	167	309	1	143	4.2e-58	236.1
g40.t1	XP_010538461.1	86.2	341	47	0	71	411	1	341	5.2e-160	575.1
g40.t1	XP_010518730.1	86.2	341	47	0	71	411	1	341	3.3e-159	572.4
g40.t1	XP_010518729.1	86.0	342	47	1	71	411	1	342	8.2e-158	567.8
g40.t1	OMO64714.1	86.2	341	44	1	68	408	138	475	1.1e-157	567.4
g40.t1	XP_017978555.1	86.5	341	43	1	71	411	1	338	1.4e-157	567.0
g44.t1	PQQ07676.1	91.9	123	9	1	198	319	34	156	5.0e-54	222.6
g44.t1	BAU00455.1	88.8	125	14	0	193	317	6	130	6.5e-54	222.2
g44.t1	ESR53575.1	91.0	122	11	0	196	317	1	122	6.5e-54	222.2
g44.t1	KAF3448356.1	86.0	129	18	0	191	319	57	185	6.5e-54	222.2
g44.t1	XP_008347578.1	91.1	123	10	1	198	319	41	163	6.5e-54	222.2
g46.t1	XP_024045057.1	81.1	37	7	0	59	95	1	37	1.7e-07	67.8
g52.t1	MQM09766.1	85.2	54	8	0	148	201	25	78	2.5e-19	106.7
